shuffle_id,network,n_regions,CRRP_Allocation,CRRP_Flexibility,CRRP_Residual,CRRP_Contrast,CRRP_Switching
26,Default,46,0.35143612743374064,0.0036942435861954935,5.224489916724936e-06,6.755642494174359e-06,0.0005399517301527435
27,Vis,29,0.30400038524678996,0.007554974194283562,7.511127574471201e-06,7.296953957799667e-06,0.0006744856538920826
27,SomMot,35,0.3806430918583243,0.002341053798858847,3.475249309242392e-06,4.162825175921383e-06,0.0003384979443604019
27,DorsAttn,26,0.36798896747181953,0.0024892202362404876,5.01154726046584e-06,5.224275163961588e-06,0.0004593997962571235
27,SalVentAttn,22,0.3814172624953065,0.00387724772719614,4.182393021041098e-06,4.739114771985464e-06,0.00040571116659459533
27,Limbic,12,0.3461974220055586,0.0035401260485406626,4.620213468049813e-06,4.997710908377978e-06,0.0004408369255658819
27,Cont,30,0.3440928648567227,0.003432942745641409,5.094053132301049e-06,5.785129948232992e-06,0.0004920672200988682
27,Default,46,0.31747095914897,0.004427533737453001,6.082541657055016e-06,7.662307765426214e-06,0.0006119035750605507
28,Vis,29,0.4881886246537144,0.003018811994367501,6.720317236603926e-06,6.053999950491318e-06,0.0005859001172634382
28,SomMot,35,0.4502930189089905,0.0016978618771585664,3.5813671237644396e-06,4.114927665768782e-06,0.00034366039100075264
28,DorsAttn,26,0.4168142613354035,0.0027222750346910687,5.228327147616643e-06,5.161858456807313e-06,0.0004692651701823876
28,SalVentAttn,22,0.4660207341138122,0.0022013263003311315,4.454127260186217e-06,5.328051727633971e-06,0.00044320325485588713
28,Limbic,12,0.42648266724352224,0.0016339570280786066,5.151238429524197e-06,6.303803919332526e-06,0.0005136553880965121
28,Cont,30,0.38580536328795456,0.0020207168812481453,5.475998158885717e-06,6.2675114310567506e-06,0.0005333088756900861
28,Default,46,0.43153108583541844,0.0033803739174341403,6.2652329048568125e-06,8.657336773489782e-06,0.0006621445111412544
29,Vis,29,0.36723052626144,0.004348666282307203,5.91561949150469e-06,6.203890352042658e-06,0.0005483111089937387
29,SomMot,35,0.4260724546224268,0.0019235704827549216,4.024485162849379e-06,3.2853588333853115e-06,0.00032670508434642643
29,DorsAttn,26,0.42627426442952593,0.0029883547240572455,5.409450657923843e-06,4.404168955433488e-06,0.00043356626605957517
29,SalVentAttn,22,0.45882959273566776,0.002784512431069035,3.9095883201744225e-06,3.5563628668437466e-06,0.0003460993332481222
29,Limbic,12,0.4211022188802771,0.0035528004278083847,5.994152732040007e-06,4.86276485020189e-06,0.0004901562383585011
29,Cont,30,0.3961891349227418,0.003775157097380417,5.8157771766006705e-06,4.605434306872615e-06,0.0004664577713142703
29,Default,46,0.43665047394786866,0.00433131250344838,5.995618643340264e-06,5.7635129994007146e-06,0.0005383441123507447
30,Vis,29,0.42868802131259903,0.0036945191269913834,5.673356236525268e-06,6.6638895878526025e-06,0.0005573996905819412
30,SomMot,35,0.3483553990199793,0.0013373152830272218,3.2928491352273073e-06,2.9856520323997433e-06,0.0002792444677535001
30,DorsAttn,26,0.35753498770516595,0.0019884461688360103,4.81523308804536e-06,4.063599282075928e-06,0.00039277849013531985
